x,y,genre
-35.23828,-6.323043,pop
-39.06471,-9.539776,rock
-24.427946,-12.739253,R&B
31.573326,-4.213278,R&B
-25.60006,-20.32336,hip hop
-15.368864,-16.161404,pop
32.01425,-8.780472,pop
32.171032,7.3398066,Dance/Electronic
26.985155,-14.757735,pop
-29.081324,8.286732,hip hop
-17.826166,-2.3122451,R&B
-60.541348,5.5248256,hip hop
64.18373,9.7089405,pop
60.621777,12.706499,rock
-37.42945,-9.776195,pop
62.944374,12.503211,hip hop
29.182343,-10.54386,pop
31.405455,-14.363229,Dance/Electronic
-21.166601,3.1192422,rock
-39.06496,-9.539814,rock
-11.487545,-10.779448,rock
-21.754477,6.2716594,Dance/Electronic
29.688631,12.538957,hip hop
32.215153,-2.3082333,hip hop
-42.787663,-18.480042,R&B
25.93767,10.001424,R&B
31.14116,14.012925,pop
31.690275,14.583681,rock
-35.89491,-10.37151,Dance/Electronic
64.93579,10.986094,R&B
-56.636845,-5.234509,pop
24.7634,-15.447284,R&B
-27.582687,8.170482,pop
30.378017,12.345114,Dance/Electronic
-60.334442,3.3974767,pop
-63.333042,5.4999847,Dance/Electronic
31.14116,14.012925,pop
61.755497,8.939212,rock
-13.814054,-12.897712,Dance/Electronic
62.71085,7.568439,Dance/Electronic
33.135376,10.52555,R&B
24.7634,-15.447284,R&B
-19.186676,-3.2384026,R&B
29.182695,-10.543883,pop
-21.50798,-11.46359,R&B
-41.56761,-5.6838784,rock
31.50241,-11.786881,Dance/Electronic
30.183413,1.3318613,Dance/Electronic
-24.726427,5.208704,hip hop
30.330519,-14.971616,pop
-20.090557,-8.395142,hip hop
33.407166,6.570391,pop
42.676453,-9.298062,Dance/Electronic
-20.971043,-4.7968955,rock
32.003765,11.171778,R&B
24.897692,-13.838907,R&B
63.62292,9.7153635,pop
-24.538996,-12.9021015,rock
-57.251606,6.8904867,Dance/Electronic
33.279354,-11.238176,Dance/Electronic
22.074245,4.524364,pop
-20.432035,-4.733064,hip hop
-44.097336,-15.645419,pop
-57.843216,6.8032975,Dance/Electronic
-27.51344,8.262164,pop
24.897692,-13.838907,R&B
-31.670126,-9.281654,R&B
-21.588678,0.33498815,rock
43.22197,-12.10175,rock
32.21511,-2.3081634,hip hop
31.121899,2.5065207,rock
-36.471317,-11.426239,R&B
-37.739113,-7.8764873,Dance/Electronic
-34.28987,-11.572073,Dance/Electronic
28.230938,12.88755,pop
-64.22025,6.617882,R&B
27.797152,1.8406204,Dance/Electronic
62.157322,10.252654,Dance/Electronic
61.49736,9.694693,Dance/Electronic
-36.65677,-8.736078,pop
32.750984,-3.8952076,Dance/Electronic
31.339384,-5.6426077,R&B
24.104986,-13.851152,rock
-17.019104,-2.7744868,pop
-42.02384,-10.468339,Dance/Electronic
-20.38149,-10.689238,R&B
30.947248,0.46999153,pop
-16.696697,-3.471701,pop
64.50701,7.820353,Dance/Electronic
-18.751066,-5.6377163,hip hop
44.41251,-14.592664,Dance/Electronic
-17.30069,3.6459947,Dance/Electronic
-38.459873,-7.5995407,R&B
-22.977308,5.6522903,Dance/Electronic
-17.956032,-4.2660847,R&B
27.100906,-14.22779,R&B
-24.342426,-12.571865,R&B
58.925648,13.293869,Dance/Electronic
63.02193,9.351388,Dance/Electronic
-64.89016,5.5118217,pop
-61.001915,0.071389586,R&B
-24.558683,-7.192212,Dance/Electronic
30.414907,8.892789,Dance/Electronic
30.879366,-2.322482,latin
65.0431,5.747133,Dance/Electronic
21.175728,7.725281,pop
-42.519,-18.576166,Dance/Electronic
-64.39459,4.765277,pop
-19.960234,-8.487536,hip hop
-65.29238,5.528169,Dance/Electronic
-62.737614,-0.77552766,rock
64.47874,5.469343,Dance/Electronic
22.77012,10.550536,R&B
-39.631664,-21.388102,pop
-43.65472,-13.340432,rock
-42.491917,-16.692081,R&B
-14.452173,-13.624589,R&B
-35.4185,-12.395064,R&B
28.689255,-3.6961613,Dance/Electronic
-42.447697,-11.507881,Dance/Electronic
-58.419178,-3.0263886,Dance/Electronic
18.310806,2.9323914,hip hop
30.092049,10.980127,Dance/Electronic
-40.12342,-22.365099,R&B
-59.443962,-3.2527401,Dance/Electronic
31.483912,6.263882,Dance/Electronic
-17.483006,3.3622668,Dance/Electronic
-12.821243,-13.241308,hip hop
-13.20057,3.4426541,pop
26.38439,12.810709,pop
65.515594,7.4652147,R&B
62.557533,9.62366,Dance/Electronic
-60.69277,1.7031416,Dance/Electronic
27.112738,2.4857457,pop
-20.244368,-11.101184,hip hop
22.027342,8.258557,pop
-11.942039,3.6584342,hip hop
-35.719925,-16.076153,hip hop
-17.891495,-4.767995,Dance/Electronic
-64.40508,0.28046533,R&B
28.947807,5.6185966,Dance/Electronic
-23.032423,-7.3978286,hip hop
-15.740803,-2.5086262,R&B
29.122026,-11.720625,pop
31.895714,-1.0589291,pop
30.679014,-5.8257856,Dance/Electronic
17.900864,-8.363968,hip hop
-13.649544,-11.195591,Dance/Electronic
-36.27753,-12.209189,R&B
24.558264,-12.752017,pop
-45.13336,-11.293373,R&B
36.680225,-10.69876,Dance/Electronic
31.993858,-14.399501,rock
24.558777,-12.651422,Dance/Electronic
20.724745,-0.2593587,Dance/Electronic
-36.665245,-15.849972,R&B
-40.7563,-12.01819,rock
-19.960598,-8.487882,hip hop
-23.269693,5.5389795,rock
32.84931,-13.359635,Dance/Electronic
63.914333,8.913528,rock
-42.39896,-13.508791,pop
24.26313,7.7633367,rock
20.655226,-4.9128857,hip hop
31.70653,-1.857414,Dance/Electronic
30.856125,-9.149045,Dance/Electronic
-22.465912,-5.7730975,Dance/Electronic
43.0568,-8.097124,hip hop
65.27303,8.180772,Dance/Electronic
